time,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,p,q,r,x_ref,y_ref,z_ref,ctrl_thrust,ctrl_roll,ctrl_pitch,gust_active
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-0.0,0.0,0
0.008,0.0,0.0,0.50024256,0.0,0.0,0.03031999999999998,0.0,0.0,0.0005736844710879312,0.0,0.0,0.001251585361005827,0.008,0.0,1.0,1.0,-0.0,0.016,0
0.016,5.260585717246198e-07,4.1181399720981905e-11,0.5007276791685361,6.575732146557748e-05,5.147674965122738e-09,0.06063989606700704,-2.08272813613521e-08,0.00035730530905712883,0.0017173495583907444,-5.321796259878233e-08,0.0007795192592584814,0.002495090164326404,0.016,0.0,1.0,1.0,9.716985476295788e-08,0.030601216259182586,0
0.024,2.061235747563294e-06,1.8582789194548897e-10,0.5014553555480609,0.00019189714697983424,1.8080811528063382e-08,0.09095954744059949,-6.150074540277484e-08,0.0013979830626682929,0.0034272190896755678,-1.458765181267005e-07,0.002270406653748073,0.0037303566388013553,0.024,0.0,1.0,1.0,2.787958200566778e-07,0.043892579070289886,0
0.032,5.051248551554832e-06,5.401050956227221e-10,0.5024255860204783,0.0003737516004989422,4.428465045965415e-08,0.12127880905217137,-8.468503990197286e-08,0.0034188481015412792,0.005699445665313376,-2.589563391001982e-07,0.004408843576445276,0.004957229388526314,0.032,0.0,1.0,1.0,5.297588340878663e-07,0.05595702655674489,0
0.04,9.909684290928793e-06,1.2732434126416482e-09,0.5036383662524692,0.0006073044674217451,9.164228962736574e-08,0.15159752899885676,-4.0540329358397276e-09,0.006689315030208259,0.008530111760384314,-3.6883842229772986e-07,0.00713505199161958,0.006175555405282353,0.04,0.0,1.0,1.0,8.310847702675487e-07,0.06687193638182214,0
0.048,1.7022800903169736e-05,2.6344736065872886e-09,0.5050936906274832,0.0008891395765301179,1.7015377424320508e-07,0.18191554687675415,3.260077653984134e-07,0.011453125856533665,0.011915230844975264,-4.4915889256036834e-07,0.01039302300041733,0.007385184080144545,0.048,0.0,1.0,1.0,1.1610190643169844e-06,0.07670952738876828,0
0.056,2.675394332309031e-05,4.9662540880297365e-09,0.5067915521698187,0.0012163928024900713,2.9147256018030597e-07,0.21223269279194648,1.1197887544231753e-06,0.0179299630844395,0.015850748529601288,-4.698164732095191e-07,0.014130266945610606,0.008585967214929352,0.05600000000000001,0.0,1.0,1.0,1.4913548950738028e-06,0.08553722883454518,0
0.064,3.944759909972256e-05,8.716951731187942e-09,0.5087319424650122,0.0015867069720790314,4.688372053947757e-07,0.24254878689917572,2.666957695032356e-06,0.02631695491557953,0.020332543742071166,-4.000601484993678e-07,0.018297578037689846,0.009777759032386256,0.064,0.0,1.0,1.0,1.7912997784471876e-06,0.09341802926714984,0
0.07200000000000001,5.543311813064548e-05,1.4449629849643037e-08,0.5109148515797686,0.0019981898788653655,7.165847648068868e-07,0.27286363934454294,5.339247852793246e-06,0.03679008091545808,0.0253564299417628,-2.0601002956253422e-07,0.02284881721039881,0.010960416185575798,0.07200000000000001,0.0,1.0,1.0,2.0217313254073492e-06,0.10041079809129505,0
0.08,7.502812530736785e-05,2.2856284425298552e-08,0.513340267983852,0.002449375897090297,1.0508318219569392e-06,0.303177050510432,9.59106308788912e-06,0.04950548969175844,0.030918156376117577,1.3840715628301024e-07,0.02774072016957687,0.012133797766719774,0.08,0.0,1.0,1.0,2.153619152046102e-06,0.10657056683908259,0
0.088,9.854162874592147e-05,3.4751705418738355e-08,0.5160081784757031,0.0029391879298192028,1.4869276241799758e-06,0.33348881148138526,1.5971776928382506e-05,0.06460072304281315,0.037013409383900776,6.791030011579941e-07,0.03293269335197432,0.013297765315206603,0.088,0.0,1.0,1.0,2.1178313076687067e-06,0.11194883634375877,0
0.096,0.0001262768670196949,5.110101767292285e-08,0.5189185681130011,0.003466904784221676,2.0436640317730616e-06,0.36379870466224534,2.511346219533233e-05,0.08219586903952301,0.04363781374703911,1.4301832511131795e-06,0.038386658890335115,0.014452182825277651,0.096,0.0,1.0,1.0,1.8963562445768987e-06,0.11659380084640417,0
0.10400000000000001,0.00015853389492130997,7.300833620270368e-08,0.5220714201489769,0.0040321284877018835,2.7384148162226048e-06,0.3941065044969712,3.774330757527939e-05,0.10239463710880735,0.05078693409237293,2.429599531272726e-06,0.04406688445515522,0.015596916753798592,0.10400000000000001,0.0,1.0,1.0,1.4231368852564187e-06,0.12055060229465164,0
0.112,0.00019561194112442415,1.0172313571148113e-07,0.5254667159749183,0.0046347557753892744,3.58934993859718e-06,0.4244119782426757,5.468255890754542e-05,0.12528537191090994,0.05845627634512704,3.7113903735740515e-06,0.04993984973300452,0.016731836026717236,0.11200000000000002,0.0,1.0,1.0,6.324570450913197e-07,0.12386152296992158,0
0.12,0.00023781150088015185,1.3865849676198893e-07,0.529104435069149,0.005274944969465962,4.616920131313476e-06,0.45471488677882604,7.683641013697228e-05,0.15094197511925875,0.06664128922908359,5.287436472456665e-06,0.05597404550738506,0.017856812044042415,0.12,0.0,1.0,1.0,-5.083190327351588e-07,0.1265663016022921,0
0.128,0.00028543632002226967,1.853883584081098e-07,0.532984554952223,0.005953102392764727,5.841232705765109e-06,0.48501498538425,0.00010519692881693686,0.17942483558357594,0.07533736581086263,7.177259354996387e-06,0.062139991954193056,0.018971718684298356,0.128,0.0,1.0,1.0,-2.0515780525912887e-06,0.1287020615464573,0
0.136,0.00033879504258562055,2.4363497554057655e-07,0.5371070511486121,0.006669840320418857,7.280827141558339e-06,0.5153120245486461,0.0001408515219284874,0.21078160887496025,0.08453984508933665,9.421349884366654e-06,0.06840991005277348,0.02007643230887061,0.136,0.0,1.0,1.0,-4.093887521279308e-06,0.1303038584868172,0
0.14400000000000002,0.00039820280534247604,3.1529468429775634e-07,0.5414718971540947,0.007425970344606937,8.957463594647472e-06,0.5456057506853289,0.0001849651993652195,0.24504803332405814,0.09424401362229881,1.2025131306598326e-05,0.0747578012066786,0.021170831766197166,0.14400000000000002,0.0,1.0,1.0,-6.67597546001359e-06,0.13140450651026842,0
0.152,0.0004639825949653398,4.024707780592029e-07,0.5460790644088663,0.008222473702857969,1.0897011720180818e-05,0.5758959068464523,0.0002387568675725432,0.2822486528204738,0.1044451071732214,1.4946947626461744e-05,0.0811592438263766,0.022254798393848467,0.152,0.0,1.0,1.0,-9.759911977476554e-06,0.1320349064567523,0
0.16,0.000536466477490159,5.073511978521088e-07,0.5509285222757367,0.009060485315602405,1.3110052474113242e-05,0.6061822333587976,0.0003035802729220392,0.322397517323633,0.11513831240091137,1.8327288735188064e-05,0.0875913447188009,0.023328216019102038,0.16,0.0,1.0,1.0,-1.363844981770101e-05,0.13222410313224686,0
0.168,0.0006159965954846825,6.32413380906171e-07,0.5560202380234852,0.009941264749315431,1.563277288175778e-05,0.6364644684685645,0.00038078310201399777,0.36549878589587637,0.12631876855452273,2.200563201727976e-05,0.09403252641747754,0.024390970966813204,0.168,0.0,1.0,1.0,-1.8074896949342524e-05,0.1319996368052438,0
0.176,0.000702926223253916,7.802372998258251e-07,0.5613541768135705,0.010866203471154185,1.8477989864956766e-05,0.6667423487606541,0.00047183117238885496,0.41154742453619675,0.13798156916938586,2.6099504780723983e-05,0.10046273400507177,0.025442952049772663,0.176,0.0,1.0,1.0,-2.3329850335216414e-05,0.13138714820112435,0
0.184,0.0007976204559129207,9.536230473539712e-07,0.5669303016918181,0.011836779082375586,2.167321844101826e-05,0.6970156097809548,0.0005782250962212069,0.46052970953598293,0.1501217637875886,3.055237628982547e-05,0.10686301084002246,0.026484050579211382,0.184,0.0,1.0,1.0,-2.936132175058091e-05,0.13041110690773358,0
0.192,0.0009004568736239053,1.1555178329352555e-06,0.5727485735832715,0.01285455221387308,2.523684819766054e-05,0.7272839864316626,0.0007015473199990701,0.5124237628822549,0.16273435966148997,3.541868479145866e-05,0.11321556846859432,0.027514160357829165,0.192,0.0,1.0,1.0,-3.632799989096605e-05,0.12909466776947123,0
0.2,0.0010118262674279747,1.3891874521676765e-06,0.5788089512885914,0.013921174225508669,2.9208702404052615e-05,0.7575472131649932,0.0008433421817558682,0.5672001756882535,0.17581432341745667,4.050001592354866e-05,0.11950397865473072,0.028533177683661613,0.2,0.0,1.0,1.0,-4.3941030731791574e-05,0.12745930388827043,0
0.20800000000000002,0.001132132885817451,1.6578766624371737e-06,0.5851113914858963,0.015038327298684534,3.3586151283687156e-05,0.7878050246631063,0.0010053421320764192,0.6248223498597911,0.1893565827407285,4.6100752847475125e-05,0.12571255869194226,0.029541001336388803,0.20800000000000002,0.0,1.0,1.0,-5.2809573664042934e-05,0.12552587806889168,0
0.216,0.0012617949290018254,1.9652519103810538e-06,0.591655848732298,0.016207755398046822,3.842190599298502e-05,0.8180571558002152,0.0011891645103517087,0.6852470496461879,0.20335602801684474,5.1873389008620424e-05,0.13182682928312228,0.030537532600143556,0.21599999999999997,0.0,1.0,1.0,-6.238804198073101e-05,0.12331381399365726,0
0.224,0.0014012447817590597,2.3150808858464808e-06,0.5984422754686496,0.01743123159465428,4.372862193317837e-05,0.8483033420439391,0.001396524940922138,0.7484248113315279,0.21780751387469882,5.7945911891692306e-05,0.13783320502566626,0.03152267522752815,0.22400000000000003,0.0,1.0,1.0,-7.29726317928634e-05,0.12084162230725701,0
0.232,0.0015509292836378287,2.711295978198357e-06,0.6054706220245635,0.01871056273484611,4.952688654398454e-05,0.8785433194892309,0.0016291900245152381,0.8143004161023575,0.2327058607898144,6.435327366725509e-05,0.14371913228386515,0.032496335460980894,0.232,0.0,1.0,1.0,-8.47003092547225e-05,0.11812663799565831,0
0.24,0.001711309515723974,3.158132333858868e-06,0.6127408366299708,0.020047529010768155,5.585454445756386e-05,0.9087768256759159,0.0018888800425775776,0.8828130670376668,0.2480458565578667,7.09285822229518e-05,0.14947244364427065,0.03345842202485076,0.24,0.0,1.0,1.0,-9.734885488496542e-05,0.11518615497265802,0
0.248,0.001882861393524105,3.6600373959354275e-06,0.6202528654165397,0.021443984725016373,6.273813275956999e-05,0.9390035983211108,0.0021773274870840595,0.9538971434228258,0.26382225769924567,7.764316684464505e-05,0.15508261742590804,0.034408846108767106,0.248,0.0,1.0,1.0,-0.00011093794491534249,0.11203516750855613,0
0.256,0.002066075027614478,4.22157734209421e-06,0.6280066524354053,0.02290170426129662,7.019249326984784e-05,0.9692233773581989,0.0024963345204860694,1.0274821478645562,0.2800297908548847,8.460435460814666e-05,0.16053901667585294,0.03534752137097033,0.256,0.0,1.0,0.9936088286915469,-0.0001257321804868668,0.10868947971860315,0
0.264,0.0022613999865714217,4.8474475324653764e-06,0.6359990723936804,0.024415619869617943,7.823377379639578e-05,0.9990524947843841,0.0028476724889296492,1.103493300826285,0.2966631541226101,9.171099389331506e-05,0.16583230160722423,0.036274363942313384,0.264,0.0,1.0,0.9490637695366352,-0.00014167657913727525,0.1051839311415724,0
0.272,0.0024689398985458444,5.541842463639494e-06,0.6442086880734686,0.02594248899680286,8.679936639676474e-05,1.026201959973531,0.0032329525118323195,1.1818522552576103,0.31371701819980174,9.859017589120956e-05,0.1709546915268422,0.03718929244402199,0.272,0.0,1.0,0.9043890104954894,-0.0001585318091797157,0.10166655029040761,0
0.28,0.0026887576637693294,6.3085417714884016e-06,0.652614002416723,0.027477220652935605,9.58374134811134e-05,1.0506642929067826,0.0036540356279061645,1.2624804008104051,0.3311860278953755,0.00010577318373478228,0.1759056145186146,0.038092228152957174,0.28,0.0,1.0,0.8619156221100432,-0.00017740521507656124,0.09816020225553646,0
0.28800000000000003,0.002920897479490611,7.151493899009697e-06,0.6611945775899646,0.029017476965160178,0.00010536901594016191,1.0725718966552023,0.004112661915474831,1.3452994209301394,0.34906480349339486,0.00011299024795292412,0.18068571416000315,0.03898309485457784,0.28800000000000003,0.0,1.0,0.8216927226964099,-0.00019797279354294374,0.09467768130351345,0
0.296,0.0031653871535787283,8.07481678020378e-06,0.6699310586765284,0.030561209261014657,0.00011541536014926054,1.092060135820469,0.004610443024135432,1.4302314634544377,0.367347941759487,0.00011996299249288498,0.18529600619493922,0.03986181876318861,0.296,0.0,1.0,0.7836274857190312,-0.0002198858284649767,0.09123034810290531,0
0.304,0.0034222393826648903,9.082627736831261e-06,0.6788051291957997,0.032106528635770265,0.00012597636957843508,1.1092588149089133,0.00514897022906316,1.5171994267469477,0.38603001696975714,0.00012665611716093875,0.18973813061494674,0.04072832850935321,0.304,0.0,1.0,0.7476220664678661,-0.00024322222945403427,0.08782811237441557,0
0.312,0.0036914530207776846,1.0179015896859582e-05,0.6877994641805114,0.03365170476409927,0.0001370485200035401,1.1242918730889624,0.005729826448452491,1.6061272319514388,0.40510558199747454,0.00013306746730279412,0.19401432141232453,0.04158255514874989,0.312,0.0,1.0,0.7135822121357909,-0.0002681192946165972,0.08447945553018377,0
0.32,0.003973014327242096,1.1368082856915936e-05,0.6968976849506207,0.03519516330805141,0.00014863337000704433,1.1372775962636572,0.0063545524734289465,1.696940027531679,0.42456916934906264,0.00013912774082087918,0.19812725883777138,0.042424432156041136,0.32,0.0,1.0,0.6814176597246262,-0.00029459465125677693,0.08119163971814936,0
0.328,0.00426689821156561,1.2653986883282003e-05,0.7060843157780614,0.03673548554043935,0.00016073800329575828,1.1483288534300913,0.007024611535924544,1.7895643449493468,0.444415292107107,0.00014469648926715133,0.20207996276842322,0.04325389541051897,0.328,0.0,1.0,0.6510420145149016,-0.0003225357501241843,0.0779708528246077,0
0.336,0.0045730694764098455,1.404095747336547e-05,0.7153447423871323,0.03827140810552943,0.00017337132376043338,1.1575533261338553,0.007741374813278719,1.8839282159786082,0.46463844479135796,0.00014960744211462557,0.20587570898487173,0.04407088318081427,0.336,0.0,1.0,0.6223725997921521,-0.0003517776725572817,0.07482232205303668,0
0.34400000000000003,0.004891484053809377,1.5533230737744986e-05,0.7246651722212669,0.039801822174941465,0.0001865341580474397,1.1650537292668213,0.008506161420973489,1.9799612573241172,0.485233104200281,0.00015378704413042052,0.20951795783874827,0.04487533611302683,0.34400000000000003,0.0,1.0,0.5953303093183413,-0.0003823142480883558,0.07175041359827172,0
0.352,0.005222090284682321,1.713488225503115e-05,0.7340325964060538,0.04132577885911798,0.0002002064396607702,1.1709280230983563,0.009320348868213797,2.077594764570622,0.5061937303550303,0.00015740783853261577,0.2130103746627693,0.04566719722925226,0.352,0.0,1.0,0.5698394646052999,-0.00041457655023083984,0.0687585750393585,0
0.36,0.005564830313873408,1.884977301888858e-05,0.743434753338824,0.04284250364888588,0.00021436134548217866,1.1752696165962837,0.0101854080729661,2.1767618730859932,0.5275147675756866,0.00016072349835167323,0.21635697589644146,0.046446411940645055,0.36,0.0,1.0,0.5458276751042724,-0.0004491461977055432,0.0658490559947858,0
0.368,0.005919641278374129,2.0682045161940586e-05,0.7528600938501188,0.04435137056259014,0.0002290340178815008,1.1781675639118476,0.01110256498349022,2.2773975769016483,0.5491906452704696,0.00016325388189496025,0.21956181911761852,0.04721292804679955,0.368,0.0,1.0,0.5232256992645539,-0.00048529625076672783,0.06302344660968084,0
0.376,0.006286456278455221,2.2636214279938795e-05,0.762297747874739,0.04585187501013651,0.0002442711397497763,1.1797067530775376,0.012072735300555405,2.379438599556258,0.5712157782767652,0.00016438065838531832,0.22262867989893007,0.047966695659122975,0.376,0.0,1.0,0.5019673207057476,-0.000522030043350966,0.06028325300778703,0
0.384,0.0066652059368968305,2.4716455583194696e-05,0.7717374925434952,0.047343707305201245,0.00026003016290698745,1.1799680835945183,0.013097011578809018,2.4828236652646205,0.593584567604707,0.0001645520575632651,0.22556192534004163,0.048707667176043676,0.384,0.0,1.0,0.4819892327081367,-0.0005602345575677367,0.05762833967403419,0
0.392,0.007055819705992908,2.6926774970999167e-05,0.7811697216699729,0.04882672113700963,0.0002762899234755589,1.1790286408097126,0.014176549698266639,2.5874936140663096,0.6162914015391655,0.00016397203283179676,0.22836617383881722,0.049435797373607385,0.392,0.0,1.0,0.4632308938712032,-0.0006003720729158276,0.055057521719836744,0
0.4,0.00745822606197387,2.927156752030097e-05,0.7905854166057203,0.050300794497620184,0.0002930990686627257,1.1769618669684252,0.01531218401537978,2.6933907795059397,0.6393306560934076,0.00016200834016391095,0.23104468597163785,0.050151043374308035,0.4,0.0,1.0,0.445634415975555,-0.0006414123029152034,0.05257144969955879,0
0.40800000000000003,0.007872354492424592,3.175507380092928e-05,0.799976118288621,0.05176605380634034,0.0003104382850785387,1.1738377103625919,0.016504804151905653,2.8004595963711716,0.6626966956762502,0.0001588539122521017,0.23360204804887558,0.050853364555502455,0.40800000000000003,0.0,1.0,0.4291445046390511,-0.0006837717397785979,0.05016785489407466,0
0.41600000000000004,0.008298136397120624,3.438160095227598e-05,0.8093339005737595,0.053222738087004055,0.00032831589391833793,1.1697227856423098,0.017755207995220238,2.90864649542955,0.6863838738470924,0.0001543836491009648,0.23604261668063203,0.05154272261978652,0.41600000000000004,0.0,1.0,0.41370827044620395,-0.0007272987844569553,0.04784429731459944,0
0.424,0.008735505129312038,3.7155358325044786e-05,0.8186513447590992,0.0546710915239268,0.0003467196715961004,1.1646805231674489,0.01906420772540451,3.017899235205739,0.7103865338149965,0.00014870656198373502,0.23836929056766748,0.05221908155380215,0.42400000000000004,0.0,1.0,0.39927516578321515,-0.0007722560819994504,0.04560038857929988,0
0.432,0.009184398512552181,4.008092154838702e-05,0.8279215151113266,0.056111672905018,0.0003656954029177792,1.158771294028431,0.020432331056042863,3.1281679488638536,0.7346990092761132,0.0001412822294441474,0.24058725218689986,0.052882407640997046,0.43199999999999994,0.0,1.0,0.3857969380323116,-0.0008177325462432995,0.043431154664332505,0
0.44,0.00964475790964174,4.316240234501998e-05,0.8371379356606572,0.0575449246361949,0.00038518509957912,1.152052568666325,0.02186037449741875,3.239403861481614,0.7593156247163872,0.00013277956006740456,0.2426988854841103,0.05353266938615243,0.44,0.0,1.0,0.37322739480133105,-0.0008649667901684962,0.04133606612260404,0
0.448,0.010116530672721814,4.640459546353602e-05,0.846294567810776,0.05897159538500915,0.0004052741398145049,1.1445790187648548,0.02334864131111409,3.351560354540171,0.7842306963338929,0.00012220704750948196,0.244708896603515,0.05416983762732925,0.44800000000000006,0.0,1.0,0.3615225009641696,-0.0009122322946241688,0.03930999126408424,0
0.456,0.010599669500044196,4.9811612418506926e-05,0.8553857891452388,0.06039235341529763,0.00042587711937136334,1.1364026668078382,0.024897862929293774,3.4645919324206975,0.8094385322842282,0.00011058537705113338,0.2466197368449286,0.054793885355255055,0.45599999999999996,0.0,1.0,0.3506400963174972,-0.0009613719067576786,0.03735131319275553,0
0.464,0.01109413431024781,5.338846137199928e-05,0.8644063729953405,0.0618081012754517,0.00044710611918654427,1.1275729812627113,0.026508139754230883,3.578454959755559,0.834933433539152,9.662624906445536e-05,0.24843546599967403,0.0554047879104603,0.464,0.0,1.0,0.34053999141132235,-0.0010101156797436984,0.03545512264335998,0
0.47200000000000003,0.011599891910838296,5.713922877940626e-05,0.8733514690783464,0.06321970007381068,0.00046884592592587207,1.1181370103757373,0.028180173402666778,3.6931068964658045,0.8607096941864399,8.173142751788731e-05,0.2501584748884963,0.05600252273155389,0.4720000000000001,0.0,1.0,0.33118372848385563,-0.0010609649542377476,0.033619028766958936,0
0.48,0.012116917420079216,6.106923281562462e-05,0.8822165848632414,0.06462818865511497,0.0004912505045272952,1.1081394731118794,0.029913815749183937,3.8085067955703096,0.8867616021691045,6.413879432794821e-05,0.25179224019236046,0.05658706962714229,0.48,0.0,1.0,0.32253464459548337,-0.001110791095569757,0.03183832306955359,0
