time,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,p,q,r,ctrl_thrust,z_ref
0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.008,0.0,0.0,0.50024256,0.0,0.0,0.03031999999999998,0.0,0.0,0.0005736844710879312,0.0,0.0,0.001251585361005827,1.0,1.0
0.016,8.923664633046705e-24,8.161282928846331e-22,0.5007276791685361,1.115458079130838e-21,1.0201603661057913e-19,0.06063989606700704,-5.543240304206811e-19,6.07214296508814e-21,0.0017173495584519788,-1.209347563894048e-18,1.3235291200106492e-20,0.002495090164326404,1.0,1.0
0.024,1.7276407943444696e-23,2.4577764554397286e-21,0.5014553555576257,1.044092913799749e-21,2.0520602031938693e-19,0.09095954863619297,-1.6661972343964713e-18,1.1777158046874766e-20,0.0034272190901621378,-2.4257316151367484e-18,1.2374126385486512e-20,0.0037303566384844842,1.0,1.0
0.032,3.3846559280696555e-23,4.8095341915930865e-21,0.5024255861027956,2.0712689171564824e-21,2.939697170191697e-19,0.12127881814625192,-3.2509048604501916e-18,2.3118542124756677e-20,0.005699445665109835,-3.4572972286469877e-18,2.4530347959232096e-20,0.004957229385518879,1.0,1.0
0.04,4.0490283482321345e-23,6.1351779504629395e-21,0.5036383666231314,8.304655252030986e-22,1.657054698587316e-19,0.15159756504197003,-4.120167315111342e-18,2.767068685920745e-20,0.008530111746049977,-1.8964392239672977e-18,9.533998211965129e-21,0.006175555392116225,1.0,1.0
0.048,3.815571758831301e-23,7.393717644426103e-21,0.5050936918213458,-2.918207367510421e-22,1.5731746174539543e-19,0.18191564977679486,-4.92040380826358e-18,2.6080397068182707e-20,0.011915230757530045,-1.745848663650987e-18,-4.052119834671381e-21,0.007385184040272859,1.0,1.0
0.056,2.76062218481649e-23,9.41283318349107e-21,0.506791555283869,-1.318686967518514e-21,2.5238944238312094e-19,0.2122329328154046,-6.209211921082346e-18,1.9014366187056298e-20,0.015850748188491345,-2.811746502083967e-18,-1.6249593339107517e-20,0.008585967117487927,1.0,1.0
0.064,2.6274965332826003e-23,1.04529222471504e-20,0.5087319494809592,-1.6640706441736201e-22,1.3001113295741638e-19,0.24254927463627676,-6.79772943147557e-18,1.8137605394391954e-20,0.020332542699328215,-1.2839492021633996e-18,-3.0226391595809856e-21,0.009777758826489005,1.0,1.0
0.07200000000000001,2.507016399879347e-23,1.0589831158034886e-20,0.5109148657668333,-1.5060016675406662e-22,1.7113613860560718e-20,0.27286453573425645,-6.734107800630508e-18,1.7147755771649822e-20,0.025356427233191356,1.3879749166527379e-19,-3.453805598053522e-21,0.010960415794491545,1.0,1.0
0.08,2.4032322509217594e-23,9.95447720137179e-21,0.5133402943798183,-1.297301861969842e-22,-7.941924458288714e-20,0.3031785766231239,-6.107635549609059e-18,1.597593019287231e-20,0.03091815013132241,1.3667469231353948e-18,-3.916305060067464e-21,0.012133797081993499,1.0,1.0
0.088,1.5056371778699855e-23,1.029760662485139e-20,0.5160082244425236,-1.1219938413147174e-21,4.289117793495008e-20,0.33349125783816147,-6.111014093529826e-18,9.701408232787881e-21,0.03701339625220722,-7.373819134392465e-21,-1.5106795168348157e-20,0.013297764191106556,1.0,1.0
0.096,-1.4806759300561216e-24,9.79375349181374e-21,0.5189186439620334,-2.067130963594497e-21,-6.298164162970621e-20,0.3638024399387195,-5.5043427704831536e-18,-2.1058366551992568e-21,0.0436377880943363,1.3235505486535178e-18,-2.7224330359511677e-20,0.01445218107342561,1.0,1.0
0.10400000000000001,-8.49751695928715e-24,1.0198581234781613e-20,0.5220715398301196,-8.771051286538785e-22,5.0603467870983965e-20,0.3941119835107818,-5.48353844462483e-18,-6.963274146284252e-21,0.05078688692236124,4.538923243716193e-20,-1.2092831468884473e-20,0.015596914137437872,1.0,1.0
0.112,-1.5122749027325823e-23,1.0698511395577238e-20,0.5254668978234758,-8.28154008504834e-22,6.249127009945313e-20,0.42441974916952957,-5.496133039128145e-18,-1.1303371551781263e-20,0.05845619389643711,-2.747447554978277e-20,-1.1071796055684039e-20,0.01673183225547344,1.0,1.0
0.12,-2.1468225698155946e-23,1.1162113560763756e-20,0.529104702603971,-7.931845838537656e-22,5.795027064831473e-20,0.45472559756190456,-5.452809880197243e-18,-1.5259110503729394e-20,0.0666411512045414,9.452060978543044e-20,-1.0336257787391841e-20,0.017856806770198973,1.0,1.0
0.128,-1.966205678342804e-23,1.0714606484726196e-20,0.5329849377189244,2.2577111434098843e-22,-5.593838450469505e-20,0.48502938936917084,-4.75964838621984e-18,-1.4299178525686308e-20,0.07533714319756066,1.512248680493702e-18,4.034780790144024e-22,0.018971711500656244,1.0,1.0
0.136,-1.7901126902564674e-23,1.1242756485089923e-20,0.5371075856014003,2.2011623510792055e-22,6.601875004546583e-20,0.5153309853094753,-4.702111652612687e-18,-1.2502215305354064e-20,0.08453949752693743,1.2553037561602278e-19,2.2626667430176875e-21,0.020076422747847447,1.0,1.0
0.14400000000000002,-1.641566186106524e-23,1.1800023299759509e-20,0.5414726275705235,1.8568313018742896e-22,6.965835183369826e-20,0.5456302461404068,-4.637581595762478e-18,-1.0735315732381207e-20,0.09424348628467033,1.4078703762006936e-19,2.1292662058471227e-21,0.021170819299869168,1.0,1.0
