time,x,y,z,vx,vy,vz,roll,pitch,yaw,p,q,r,z_ref
0.32,4.361850081235951e-24,1.6760472612624821e-19,0.6927917970500668,-2.6204903199788445e-23,7.4111201542645885e-19,1.0517175324515804,-5.984718610779944e-19,-2.8116228163281273e-23,-7.068234481557344e-08,2.1996858907350276e-18,-6.720032491219335e-22,-7.967320733319962e-07,1.0
0.328,4.151257701383573e-24,1.727788103840814e-19,0.7012482708255839,-2.6324047481547196e-23,6.467605322291475e-19,1.057059221939652,-5.699402018526078e-19,-3.341389203160812e-23,-7.743587388967225e-08,3.566457403147359e-18,-6.617148019885106e-22,-8.441911342623498e-07,1.0
0.336,3.929495533926148e-24,1.7819662474334206e-19,0.709736754001252,-2.7720270932178114e-23,6.7722679490758315e-19,1.061060396958506,-5.424755769678218e-19,-3.8737845436559255e-23,-8.456995091219154e-08,3.4330781105660852e-18,-6.649981718784433e-22,-8.917596278149116e-07,1.0
0.34400000000000003,3.837492086807611e-24,1.83714463701912e-19,0.7182471567706583,-1.1500430889817111e-23,6.897298698212412e-19,1.0638003461757903,-5.145270543537298e-19,-4.240496770606416e-23,-9.208429358033139e-08,3.493565326723393e-18,-4.578938661898083e-22,-9.392928335174787e-07,1.0
0.352,3.862621603381962e-24,1.9020571407055216e-19,0.7267699938889979,3.141189571793925e-24,8.114062960800194e-19,1.0653546397924394,-4.965951933022912e-19,-4.4559418761447337e-23,-9.997752242085941e-08,2.241482631386927e-18,-2.6880756821749106e-22,-9.866536050660033e-07,1.0
0.36,3.876687477170536e-24,1.9678815978128658e-19,0.735296356189608,1.758234223571703e-24,8.22805713841801e-19,1.0657952875762584,-4.78327355619957e-19,-4.67183928614787e-23,-1.0824722265782367e-07,2.283479710244595e-18,-2.693678676768057e-22,-1.0337125296205327e-06,1.0
0.368,3.888053470272205e-24,2.0427306704103784e-19,0.7438178833146387,1.4207491377086334e-24,9.356134074689067e-19,1.0651908906288463,-4.69438674047921e-19,-4.8782298353224167e-23,-1.1689000670563205e-07,1.1110851964529265e-18,-2.5747622789804046e-22,-1.0803480059760463e-06,1.0
0.376,3.790459186199708e-24,2.1178281987199165e-19,0.7523267376115264,-1.219928550906217e-23,9.387191038692259e-19,1.0636067871109487,-4.595952075663571e-19,-5.200864302239072e-23,-1.2590157673071672e-07,1.2304333101387362e-18,-4.027698302783275e-22,-1.1264462531355864e-06,1.0
0.384,3.491266786862704e-24,2.184387394215761e-19,0.7608155791486871,-3.7399049917125486e-23,8.319899436980569e-19,1.061105192145098,-4.384452848819103e-19,-5.749016800858338e-23,-1.3527678680674773e-07,2.6437403354916944e-18,-6.846644158819901e-22,-1.1719012595038738e-06,1.0
0.392,3.136720108627906e-24,2.234230505468999e-19,0.7692775418055535,-4.431833477934972e-23,6.230388906654696e-19,1.057745332108294,-3.9638319410388935e-19,-6.348211585122443e-23,-1.4500970426255156e-07,5.2577613471790314e-18,-7.484856480378988e-22,-1.2166146819754782e-06,1.0
0.4,2.8394184632841177e-24,2.286775957061571e-19,0.7777062103937233,-3.7162705667973576e-23,6.568181449071544e-19,1.0535835735212336,-3.5656361166549945e-19,-6.86423853959521e-23,-1.5509366988591823e-07,4.977447804715458e-18,-6.445591499843568e-22,-1.2604957029208336e-06,1.0
0.40800000000000003,2.5015629729224003e-24,2.3324051458327795e-19,0.7860955987675993,-4.223193629521466e-23,5.703648596401036e-19,1.048673546734496,-3.0770746950554975e-19,-7.412093667479855e-23,-1.6552135670481404e-07,6.107017769900662e-18,-6.843859841809744e-22,-1.3034608523619712e-06,1.0
0.41600000000000004,2.1690838664074885e-24,2.3804124476608295e-19,0.7944401288844465,-4.155988831436398e-23,6.000912728506273e-19,1.0430662646059081,-2.6096628994492403e-19,-7.936689673464277e-23,-1.7628482711784042e-07,5.842647444974961e-18,-6.553624510314949e-22,-1.3454338016282964e-06,1.0
0.424,1.877166326171843e-24,2.438793903509779e-19,0.8027346107753053,-3.648969252945568e-23,7.297681981118683e-19,1.0368102363573481,-2.259449649154372e-19,-8.395783227069096e-23,-1.8737558819078285e-07,4.377665628572636e-18,-5.735294284815611e-22,-1.3863451341178024e-06,1.0
0.432,1.6017280426463361e-24,2.5074600502130186e-19,0.8109742233896509,-3.442978544068835e-23,8.583268337904947e-19,1.0299515767931955,-2.0262656829698788e-19,-8.817417086750312e-23,-1.987846449757146e-07,2.9147995771834297e-18,-5.267367247915927e-22,-1.426132098116468e-06,1.0
0.44,1.196812882314609e-24,2.568728768352477e-19,0.8191544962781051,-5.061439504146588e-23,7.658589767432286e-19,1.022534111056781,-1.701110816256798e-19,-9.373778985410753e-23,-2.1050255174332348e-07,4.064435833780281e-18,-6.951793917611396e-22,-1.4647383459511062e-06,1.0
0.448,1.0020815283050845e-24,2.6407224659933973e-19,0.8272712920788681,-2.4341419251190568e-23,8.999212205115026e-19,1.0145994750953768,-1.4995868441781066e-19,-9.661934630733443e-23,-2.225194610494617e-07,2.5190496508406705e-18,-3.599541660689755e-22,-1.5021136632672805e-06,1.0
0.456,8.50150037877771e-25,2.705088878245205e-19,0.835320789774857,-1.8991436303414206e-23,8.0458015314759095e-19,1.0061872119986128,-1.2046047369961114e-19,-9.879697477002492e-23,-2.3482517058309488e-07,3.6872763396246376e-18,-2.7199557661055326e-22,-1.5382136917041429e-06,1.0
0.464,7.129171363595439e-25,2.76173680284284e-19,0.8432994686898134,-1.7154112689778376e-23,7.080990574704401e-19,0.9973348643695511,-8.15728591155372e-20,-1.0060313905326664e-22,-2.474091677657042e-07,4.86095182285241e-18,-2.2561163622453044e-22,-1.572999647826158e-06,1.0
0.47200000000000003,5.665867506519335e-25,2.811204257396931e-19,0.8512040931928718,-1.8291298213451296e-23,6.183431819261343e-19,0.9880780628822995,-3.4013577002374395e-20,-1.0231999586814911e-22,-2.602606720914878e-07,5.9449102639823545e-18,-2.145142606363239e-22,-1.6064380407229497e-06,1.0
