sample_id,is_baseline,c0,c1,c2,c3,c4,theta_root,theta_mid,theta_tip,tc_root,tc_tip,camber,RPM,T_per_rotor,P_total,FM,CT,CP,T_margin_pct,T_per_rotor_rhomin,P_total_rhomin,T_margin_pct_rhomin,f1_bending_hz,blade_mass_kg,feasible,robust_feasible,rpm_feasible,mach_feasible,hover_feasible,structural_feasible
0,1,0.07925,0.113,0.0884,0.06875,0.0447,25.0,15.0,8.0,0.25,0.10514541387024609,0.03,2537.0,4.085618066842644,237.98365750556815,0.37304508380466916,0.009108103697985738,0.0016476525353022252,37.655595244024376,3.2406388875388106,190.21172605572784,9.185946345647267,153.34611669059095,0.3330882275847558,1,1,1,1,1,1
1,0,0.13225822825779215,0.039369955498468036,0.1341927593649258,0.07654896198431461,0.06633472156012103,16.697510654497776,12.778256334922776,4.347576452326466,0.11856145203485735,0.08288074955653513,0.015263119058108163,2496.9365030282406,2.922135423841126,173.4127482831532,0.30966441065945766,0.006725064869896344,0.0012593267360066134,-1.545302431228901,2.3123758633701033,146.07399506430366,-22.089762015832104,99.64491842274052,0.2527499470477094,0,0,1,1,0,1
2,0,0.09077890390716659,0.13177747202993279,0.08850950854978187,0.1056811559387853,0.0236251855560329,15.768170275669513,10.061683096137779,4.611578339151988,0.19156753187783102,0.0601015892715155,0.0014117427789735574,2028.5189150112212,1.2364988885606152,72.40500922562173,0.20414737034174996,0.004311682197205836,0.0009806438884407383,-58.338986234480615,0.9806335610659245,61.1714732656503,-66.95978567837182,128.77558171647595,0.32227802957512725,0,0,1,1,0,1
3,0,0.030466199864871205,0.05983796660089469,0.08939732128995248,0.06446380268810481,0.06050949263645207,27.74983762960229,15.08248207269564,10.476985570913314,0.1433033696378403,0.11295233265438862,0.02453008828940865,2068.96676514474,2.5180869457728066,124.57874220601818,0.344813251947182,0.00844062932388186,0.0015902422813672756,-15.158795627600853,2.000891006275556,99.16282385305372,-32.584534828990705,58.55168087880878,0.1439177898774316,0,0,1,1,0,1
4,0,0.07668383592868874,0.09922486323109211,0.0434132805867197,0.04085071192251609,0.038261116777803694,30.694288599114568,7.437687871771788,6.44688662110967,0.2201356037364668,0.08453311163474359,0.05258960145846462,2877.2947012765326,3.136562369972545,198.63282199014327,0.3006434087076474,0.005436211833591019,0.000942709476342954,5.679325133845858,2.4964280617835826,158.10581162799113,-15.888542392736438,140.4482381399365,0.17393709125093818,0,0,1,1,1,0
5,0,0.03717089049262741,0.036263461639208,0.03995503235455917,0.05107134399697681,0.020333621464619235,37.5045466543618,4.245144521287372,-4.62631908422118,0.14104487179464265,0.06602317230683855,0.005314762297579546,2653.9148933204315,-0.42877705190623444,82.05670129189558,nan,-0.0008735116193074002,0.0004962870890008209,-114.44666616934751,-0.3379715394164047,65.56814712361707,-111.38718124718345,52.6958472851151,0.04215584500198551,0,0,1,1,0,1
6,0,0.0537520583759739,0.1230927114612009,0.09170817812652227,0.0739592602161749,0.02662206819562394,22.085658376480076,18.216274189785164,-1.958002648587171,0.1326053663777614,0.11991475128923615,0.051739934453612295,2328.155702387056,3.4982498786277403,190.65773849734666,0.3689296943887507,0.009260574288032392,0.0017080409162975303,17.86556194837401,2.7898635798309264,152.4626131725241,-6.001900949092775,105.20515534006805,0.22814243377174862,1,0,1,1,1,1
7,0,0.11431469435792024,0.1294489812197688,0.1190910353773483,0.10138865795469791,0.03363319318807071,13.133046690068321,7.587619146226579,3.593930274887052,0.11991097066967263,0.05737582004405041,0.02695193202412317,3032.899567264075,3.6424859143754795,249.5126562030937,0.29952015359956385,0.005681891789041637,0.0010111099635142589,22.72526665685579,2.876191413013486,215.42544621029575,-3.093281232699252,106.10868138131804,0.27542411102777004,0,0,1,0,1,1
8,0,0.03313375048562949,0.047291535064498506,0.12247134196607302,0.029159535670087496,0.0694194886751186,29.489742130326555,23.158275248905404,10.157994709106132,0.16239898917329176,0.10718089689677124,0.03395079088480828,2194.458058428958,2.8131265169423942,143.14351547156355,0.35435129611043487,0.008381964757613668,0.001531333284473716,-5.218109267439541,2.2460623750506246,116.04847659958669,-24.324043967297015,81.91213198002187,0.1632942180412163,0,0,1,1,0,1
9,0,0.13163786180335452,0.048214995377184294,0.14649704781124784,0.09290669310349185,0.046856573585378695,5.6249186647739835,12.268249966560393,2.8942363313568755,0.09843189751222536,0.07269581057969923,0.002761967982439678,2922.048274957804,3.4739148258760975,245.435356959517,0.2836047042907869,0.0058378849051109105,0.0011121282290887217,17.04564777210571,2.7412313365404173,211.1047736349805,-7.64045362060588,97.48544067441141,0.24105323990931984,0,0,1,1,1,0
