rho,T_per_rotor,P_total,FM,CT,CP,T_margin_pct,stable,alt_error_rms,alt_error_ss_rms,alt_error_max,ctrl_saturation_rate,settling_time
0.012,3.2406388875388106,190.21172605572784,0.3686255950091906,0.009030480380364636,0.0016461363143843162,9.185946345647267,1,0.259935743900536,0.24159229351540418,0.5,0.0232,9.992
0.014,3.801910275417579,223.2427360494432,0.36951228176521694,0.009081033711880276,0.0016559951332150268,28.096707392775567,1,0.2847748752217684,0.2557498475384354,0.5,0.0256,9.992
0.015,4.085618066842644,237.98365750556815,0.37304508380466916,0.009108103697985738,0.0016476525353022252,37.655595244024376,1,0.2984199497598888,0.26849705349812547,0.5,0.0264,9.992
0.017,4.660097248501696,263.1621728545962,0.3860219344280772,0.009166583917976983,0.001607623320136048,57.01136282013801,1,0.33348264677629524,0.3160082083308069,0.5,0.028,9.992
0.021,5.82861417363021,312.2867946897672,0.409404047500036,0.00928127142584318,0.0015443441261146307,96.38187916543835,1,0.41569063596444006,0.4133845146796513,0.5,0.0312,9.992
